"subject_ID" "activity" "."
"1" "LAYING" -0.35241310896
"1" "SITTING" -0.218017225106383
"1" "STANDING" 0.0122528503773585
"1" "WALKING" 0.0688589119894737
"1" "WALKING_DOWNSTAIRS" 0.0650047072244898
"1" "WALKING_UPSTAIRS" 0.0741663682075472
"3" "LAYING" -0.346243070483871
"3" "SITTING" -0.0783934904807692
"3" "STANDING" 0.00457098377868852
"3" "WALKING" 0.117403280068966
"3" "WALKING_DOWNSTAIRS" 0.0932212612040816
"3" "WALKING_UPSTAIRS" 0.134293701288136
"5" "LAYING" -0.168146326730769
"5" "SITTING" -0.0806862754545455
"5" "STANDING" -0.0754509648214286
"5" "WALKING" 0.02003381474925
"5" "WALKING_DOWNSTAIRS" 0.00648109544829787
"5" "WALKING_UPSTAIRS" 0.0378686889744681
"6" "LAYING" -0.106624418668421
"6" "SITTING" -0.02782276988
"6" "STANDING" 0.0121273275736842
"6" "WALKING" -0.00130364271742105
"6" "WALKING_DOWNSTAIRS" 0.0239615746072917
"6" "WALKING_UPSTAIRS" 0.0345334914843137
"7" "LAYING" -0.808553756346154
"7" "SITTING" -0.02380785876875
"7" "STANDING" 0.0579886623962264
"7" "WALKING" 0.135380525087719
"7" "WALKING_DOWNSTAIRS" 0.1316399086
"7" "WALKING_UPSTAIRS" 0.312061603254902
"8" "LAYING" -0.601885211481481
"8" "SITTING" -0.169509303978261
"8" "STANDING" 0.0905212998148148
"8" "WALKING" 0.153861202291667
"8" "WALKING_DOWNSTAIRS" 0.123085450154737
"8" "WALKING_UPSTAIRS" 0.160697390356098
"11" "LAYING" -0.0593468643842105
"11" "SITTING" -0.112035600849057
"11" "STANDING" -0.0668709773829787
"11" "WALKING" -0.0716213475762712
"11" "WALKING_DOWNSTAIRS" -0.0709612617173913
"11" "WALKING_UPSTAIRS" -0.0805376936666667
"14" "LAYING" -0.68876681
"14" "SITTING" 0.0892149622222222
"14" "STANDING" 0.260358891666667
"14" "WALKING" 0.325065094745763
"14" "WALKING_DOWNSTAIRS" 0.303781233333333
"14" "WALKING_UPSTAIRS" 0.390444368518519
"15" "LAYING" 0.0489176476388889
"15" "SITTING" 0.019615626
"15" "STANDING" -0.0231407098028302
"15" "WALKING" -0.0307724957055556
"15" "WALKING_DOWNSTAIRS" -0.034021550472619
"15" "WALKING_UPSTAIRS" -0.0346700269020833
"16" "LAYING" -0.756497965428571
"16" "SITTING" -0.0411259984489855
"16" "STANDING" 0.138687314961538
"16" "WALKING" 0.174356318431373
"16" "WALKING_DOWNSTAIRS" 0.180955706382979
"16" "WALKING_UPSTAIRS" 0.293497544705882
"17" "LAYING" -0.555002876901408
"17" "SITTING" 0.117860678351562
"17" "STANDING" 0.164226520641026
"17" "WALKING" 0.155074008229508
"17" "WALKING_DOWNSTAIRS" 0.135724922673913
"17" "WALKING_UPSTAIRS" 0.23325887375
"19" "LAYING" -0.504427518072289
"19" "SITTING" -0.348064872739726
"19" "STANDING" -0.0690773782876712
"19" "WALKING" 0.0847615795576923
"19" "WALKING_DOWNSTAIRS" 0.114011882
"19" "WALKING_UPSTAIRS" 0.1793526235
"21" "LAYING" -0.613696120222222
"21" "SITTING" 0.0612901141882353
"21" "STANDING" 0.166452878988764
"21" "WALKING" 0.176041617115385
"21" "WALKING_DOWNSTAIRS" 0.153317356444444
"21" "WALKING_UPSTAIRS" 0.241093136595745
"22" "LAYING" -0.603348695833333
"22" "SITTING" -0.2051951285
"22" "STANDING" -0.000765151707936508
"22" "WALKING" 0.0054581015
"22" "WALKING_DOWNSTAIRS" -0.00753626194444445
"22" "WALKING_UPSTAIRS" 0.0891294692238095
"23" "LAYING" -0.781769061527778
"23" "SITTING" -0.0230392130294118
"23" "STANDING" 0.180098972514706
"23" "WALKING" 0.134716005084746
"23" "WALKING_DOWNSTAIRS" 0.131746438444444
"23" "WALKING_UPSTAIRS" 0.277962284705882
"25" "LAYING" -0.416502209109589
"25" "SITTING" -0.0984975363846154
"25" "STANDING" -0.120205382366216
"25" "WALKING" -0.111244249918919
"25" "WALKING_DOWNSTAIRS" -0.133506944172414
"25" "WALKING_UPSTAIRS" -0.0545542417876923
"26" "LAYING" -0.438577144736842
"26" "SITTING" -0.207419646512821
"26" "STANDING" -0.0398428929606757
"26" "WALKING" -0.054232685440678
"26" "WALKING_DOWNSTAIRS" -0.0868762146
"26" "WALKING_UPSTAIRS" 0.0231785948890909
"27" "LAYING" -0.67651559527027
"27" "SITTING" -0.178206664085714
"27" "STANDING" 0.025601368792625
"27" "WALKING" 0.110064619157895
"27" "WALKING_DOWNSTAIRS" 0.121082833318182
"27" "WALKING_UPSTAIRS" 0.232688028039216
"28" "LAYING" 0.050311426875
"28" "SITTING" -0.0763153267916667
"28" "STANDING" 0.0484423398708861
"28" "WALKING" 0.1093028185
"28" "WALKING_DOWNSTAIRS" 0.106981081586957
"28" "WALKING_UPSTAIRS" 0.209000813137255
"29" "LAYING" -0.423473279130435
"29" "SITTING" -0.181737384166667
"29" "STANDING" -0.000327698463076923
"29" "WALKING" -0.0450589469735849
"29" "WALKING_DOWNSTAIRS" -0.0434252902375
"29" "WALKING_UPSTAIRS" -0.00950628416938775
"30" "LAYING" -0.507019938285714
"30" "SITTING" -0.227534606129032
"30" "STANDING" 0.00469988878042373
"30" "WALKING" 0.0244499703709231
"30" "WALKING_DOWNSTAIRS" 0.00139127310645161
"30" "WALKING_UPSTAIRS" 0.0373906500215385
